Ironman K5100 EIP Drive (★Read-only   ▲Set when servo off   ●Valid After Re-power on   ■Volatile parameter   ◊NEO-S Parameters   ○Set/Get through IO assembly ⌂Digit Check required ¤Set when io connection is not established),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,as of 8192021,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
218,P2.034,0,,INT,0x0000,,,,,,,,3,"1
1","28500
15999","8000
8000",,"RPM
mm/s",VelocityErrorTolerance,Velocity Error Tolerance,The Condition of Overspeed Warning,0x0244,16,S/Sz/IO,"Setting range: 0-15999 for Linear Motor, 0-30000 for rotary motor",,,2,¤,,,,,,,,,,,,,,,,,,,
219,P2.035,0,,DINT,0x0000,,,,,,,,3,1,1677721600,"50331648
30000",,Counts,PositionErrorTolerance,Position Error Tolerance,Condition of Excessive Position Control Deviation Warning,0x0246,32,PT/PR/IO,,,,2,¤,,,,,,,,,,,,,,,,,,,
220,P2.036,0,,UINT,0x0000,,,,,,,⌂,6,0x0000,0x014F,0x0100,,,DI9Configuration,Digital Input 9 Configuration,DI9 Functional Planning,0x0248,16,All,"Changed the names
2019.03.29. Changed max to 0x014F per test result.
2019.04.19. Changed default from 0x0000 to 0x0100.",,,3,¤,,,,,,,,,,,,,,,,,,,
221,P2.037,0,,UINT,0x0000,,,,,,,⌂,6,0x0000,0x014F,0x0100,,,DI10Configuration,Digital Input 10 Configuration,DI10 Functional Planning,0x024A,16,All,"Changed the names
2019.03.29. Changed max to 0x014F per test result.
2019.04.19. Changed default from 0x0000 to 0x0100.",,,3,¤,,,,,,,,,,,,,,,,,,,
222,P2.038,0,,UINT,0x0000,,,,,,,⌂,6,0x0000,0x014F,0x0100,,,VirtualDI11Configuration,Virtual Digital Input 11 Configuration,VDI11 Functional Planning,0x024C,16,All,"Changed the names
2019.03.29. Changed max to 0x014F per test result.
2019.04.19. Changed default from 0x0000 to 0x0100.",,,3,¤,,,,,,,,,,,,,,,,,,,
223,P2.039,0,,UINT,0x0000,,,,,,,⌂,6,0x0000,0x014F,0x0100,,,VirtualDI12Configuration,Virtual Digital Input 12 Configuration,VDI12 Functional Planning,0x024E,16,All,"Changed the names
2019.03.29. Changed max to 0x014F per test result.
2019.04.19. Changed default from 0x0000 to 0x0100.",,,3,¤,,,,,,,,,,,,,,,,,,,
224,P2.040,0,,UINT,0x0000,,,,,,,⌂,6,0x0000,0x014F,0x0100,,,VirtualDI13Configuration,Virtual Digital Input 13 Configuration,VDI13 Functional Planning,0x0250,16,All,"Changed the names
2019.04.19. Changed default from 0x0000 to 0x0100.",,,3,¤,,,,,,,,,,,,,,,,,,,
225,P2.041,0,,UINT,0x0000,,,,,,,⌂,6,0x0000,0x013F,0x0100,,,DO6Configuration,Digital Output 6 Configuration,DO6 Functional Planning,0x0252,16,All,2019.04.19. Changed default from 0x0000 to 0x0100.,,,3,¤,,,,,,,,,,,,,,,,,,,
226,P2.043,0,,INT,0x0000,,,,,,,,5,50,5000,1000,,Hz,NotchFilter2Frequency,Notch Filter 2 Frequency,Resonance Suppression (Notch Filter) (2),0x0256,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
227,P2.044,0,,INT,0x0000,,,,,,,,5,0,40,0,,-dB,NotchFilter2Depth,Notch Filter 2 Depth,Resonance Suppression (Notch Filter) Attenuation Rate (2),0x0258,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
228,P2.045,0,,INT,0x0000,,,,,,,,5,50,5000,1000,,Hz,NotchFilter3Frequency,Notch Filter 3 Frequency,Resonance Suppression (Notch Filter) (3),0x025A,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
229,P2.046,0,,INT,0x0000,,,,,,,,5,0,40,0,,-dB,NotchFilter3Depth,Notch Filter 3 Depth,Resonance Suppression (Notch Filter) Attenuation Rate (3),0x025C,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
230,P2.047,0,,UINT,0x0000,,,,,,,⌂,3,0x0000,0x01F2,0x0001,,,ResonanceSuppressionConfig,Resonance Suppression Configuration,Auto Resonance Suppression Mode Setting,0x025E,16,All,,,,2,¤,,,,,,,,,,,,,,,,,,,
